#frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,367:336
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,335:304
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,303:272
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,271:240
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,239:208
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,207:176
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,175:144
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,143:112
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,111:80
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,79:48
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,47:16
frame11,11,16,1111_1111_1111_1111_0000_0000_0000_0000,15:0
frame12,12,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame13,13,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame14,14,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame15,15,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame16,16,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
