#frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,537:506
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,505:474
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,473:442
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,441:410
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,409:378
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,377:346
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,345:314
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,313:282
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,281:250
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,249:218
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,217:186
frame11,11,32,1111_1111_1111_1111_1111_1111_1111_1111,185:154
frame12,12,32,1111_1111_1111_1111_1111_1111_1111_1111,153:122
frame13,13,32,1111_1111_1111_1111_1111_1111_1111_1111,121:90
frame14,14,32,1111_1111_1111_1111_1111_1111_1111_1111,89:58
frame15,15,32,1111_1111_1111_1111_1111_1111_1111_1111,57:26
frame16,16,26,1111_1111_1111_1111_1111_1111_1100_0000,25:0
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
