W_term,W1END0,W1END1,W1END2,W1END3,W1END4,W1END5,W2END0,W2END1,W2END2,W2END3,W2END4,W2END5,W2END6,W2END7,W2END8,W2END9,W2END10,W2END11
E1BEG0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1BEG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1BEG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1BEG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2BEG0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2BEG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2BEG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2BEG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2BEG4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2BEG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2BEG6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2BEG7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
