#frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,11111111111111111111111111111111,521:490
frame1,1,32,11111111111111111111111111111111,489:458
frame2,2,32,11111111111111111111111111111111,457:426
frame3,3,32,11111111111111111111111111111111,425:394
frame4,4,32,11111111111111111111111111111111,393:362
frame5,5,32,11111111111111111111111111111111,361:330
frame6,6,32,11111111111111111111111111111111,329:298
frame7,7,32,11111111111111111111111111111111,297:266
frame8,8,32,11111111111111111111111111111111,265:234
frame9,9,32,11111111111111111111111111111111,233:202
frame10,10,32,11111111111111111111111111111111,201:170
frame11,11,32,11111111111111111111111111111111,169:138
frame12,12,32,11111111111111111111111111111111,137:106
frame13,13,32,11111111111111111111111111111111,105:74
frame14,14,32,11111111111111111111111111111111,73:42
frame15,15,32,11111111111111111111111111111111,41:10
frame16,16,10,00001111111111000000000000000000,9:7,3:6,0,1,2
frame17,17,0,00000000000000000000000000000000
frame18,18,0,00000000000000000000000000000000
frame19,19,0,00000000000000000000000000000000
