#frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,12,1111_1111_1111_0000_0000_0000_0000_0000,11:0
frame1,1,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame2,2,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame3,3,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame4,4,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame5,5,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame6,6,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame7,7,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame8,8,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame9,9,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame10,10,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame11,11,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame12,12,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame13,13,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame14,14,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame15,15,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame16,16,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
