DIG2,ALTDIG0
BX0,BX_PINWIRE0
BX1,BX_PINWIRE1
BX2,BX_PINWIRE2
BX3,BX_PINWIRE3
E2MID1,BX0
E2MID0,BX0
N2END0,BX0
N2MID0,BX0
OMUX_E2,BX0
W2MID1,BX0
W2MID0,BX0
OMUX_EN8,BX0
OMUX_N10,BX0
N2END1,BX0
OMUX_NW10,BX0
OMUX2,BX0
OMUX_S0,BX0
E2END1,BX0
OMUX_W1,BX0
E2END0,BX0
W2BEG0,BX0
W2END0,BX0
E2BEG0,BX0
S2BEG0,BX0
W2END1,BX0
VCC_PINWIRE,BX0
S2END0,BX0
S2MID1,BX0
S2END1,BX0
OMUX13,BX1
W2END7,BX1
W2END6,BX1
OMUX_S5,BX1
E2END7,BX1
OMUX_E13,BX1
OMUX_ES7,BX1
E2MID6,BX1
E2MID7,BX1
N2END6,BX1
E2END6,BX1
N2END7,BX1
VCC_PINWIRE,BX1
N2MID6,BX1
W2MID6,BX1
S2END6,BX1
OMUX_SW5,BX1
W2MID7,BX1
OMUX_N15,BX1
S2MID7,BX1
OMUX_W14,BX1
W2BEG6,BX1
S2END7,BX1
E2BEG7,BX1
S2BEG6,BX1
E2MID0,BX2
W2BEG0,BX2
VCC_PINWIRE,BX2
OMUX_EN8,BX2
E2MID1,BX2
N2END0,BX2
N2END1,BX2
N2MID0,BX2
W2MID1,BX2
OMUX_W1,BX2
S2END1,BX2
S2END0,BX2
OMUX_E2,BX2
E2BEG0,BX2
W2END0,BX2
S2MID1,BX2
OMUX_N10,BX2
W2MID0,BX2
E2END1,BX2
W2END1,BX2
S2BEG0,BX2
OMUX_S0,BX2
E2END0,BX2
OMUX2,BX2
OMUX_NW10,BX2
S2END7,BX3
E2BEG7,BX3
S2BEG6,BX3
W2MID7,BX3
S2END6,BX3
E2END7,BX3
OMUX_E13,BX3
W2MID6,BX3
OMUX_W14,BX3
N2MID6,BX3
OMUX_ES7,BX3
N2END7,BX3
S2MID7,BX3
E2MID6,BX3
W2BEG6,BX3
OMUX_SW5,BX3
E2MID7,BX3
N2END6,BX3
E2END6,BX3
OMUX_S5,BX3
W2END6,BX3
W2END7,BX3
OMUX_N15,BX3
VCC_PINWIRE,BX3
OMUX13,BX3
BY0,BY_PINWIRE0
BY1,BY_PINWIRE1
BY2,BY_PINWIRE2
BY3,BY_PINWIRE3
W2END2,BY0
OMUX6,BY0
E2END3,BY0
OMUX_N12,BY0
OMUX_NE12,BY0
E2END2,BY0
OMUX_S4,BY0
OMUX_WN14,BY0
W2MID3,BY0
S2BEG2,BY0
S2MID2,BY0
OMUX_W6,BY0
W2END3,BY0
OMUX_E7,BY0
W2BEG2,BY0
W2MID2,BY0
S2END2,BY0
S2END3,BY0
E2MID2,BY0
E2MID3,BY0
N2END3,BY0
E2BEG3,BY0
VCC_PINWIRE,BY0
N2MID3,BY0
N2END2,BY0
E2END5,BY1
W2MID4,BY1
N2MID4,BY1
OMUX9,BY1
OMUX_N11,BY1
S2BEG4,BY1
W2MID5,BY1
N2END5,BY1
VCC_PINWIRE,BY1
E2END4,BY1
N2END4,BY1
W2END5,BY1
S2END4,BY1
OMUX_S3,BY1
S2END5,BY1
W2BEG4,BY1
E2MID4,BY1
OMUX_SE3,BY1
OMUX_WS1,BY1
OMUX_E8,BY1
S2MID5,BY1
E2MID5,BY1
E2BEG5,BY1
OMUX_W9,BY1
W2END4,BY1
E2END2,BY2
E2BEG3,BY2
W2MID2,BY2
E2END3,BY2
N2MID3,BY2
OMUX_WN14,BY2
OMUX_W6,BY2
OMUX_S4,BY2
OMUX6,BY2
OMUX_NE12,BY2
OMUX_N12,BY2
S2BEG2,BY2
OMUX_E7,BY2
S2END2,BY2
S2END3,BY2
S2MID2,BY2
W2BEG2,BY2
N2END3,BY2
N2END2,BY2
VCC_PINWIRE,BY2
W2END2,BY2
W2MID3,BY2
W2END3,BY2
E2MID2,BY2
E2MID3,BY2
OMUX_W9,BY3
OMUX9,BY3
VCC_PINWIRE,BY3
OMUX_WS1,BY3
E2END4,BY3
E2MID4,BY3
S2END4,BY3
N2MID4,BY3
W2MID5,BY3
OMUX_N11,BY3
N2END4,BY3
E2END5,BY3
S2END5,BY3
W2END5,BY3
OMUX_S3,BY3
E2BEG5,BY3
OMUX_E8,BY3
S2BEG4,BY3
E2MID5,BY3
W2END4,BY3
S2MID5,BY3
OMUX_SE3,BY3
W2BEG4,BY3
W2MID4,BY3
