E_term,E1END0,E1END1,E1END2,E1END3,E2END0,E2END1,E2END2,E2END3,E2END4,E2END5,E2END6,E2END7
W1BEG0,0,0,0,0,0,0,0,0,0,0,0,0
W1BEG1,0,0,0,0,0,0,0,0,0,0,0,0
W1BEG2,0,0,0,0,0,0,0,0,0,0,0,0
W1BEG3,0,0,0,0,0,0,0,0,0,0,0,0
W1BEG4,0,0,0,0,0,0,0,0,0,0,0,0
W1BEG5,0,0,0,0,0,0,0,0,0,0,0,0
W2BEG0,0,0,0,0,0,0,0,0,0,0,0,0
W2BEG1,0,0,0,0,0,0,0,0,0,0,0,0
W2BEG2,0,0,0,0,0,0,0,0,0,0,0,0
W2BEG3,0,0,0,0,0,0,0,0,0,0,0,0
W2BEG4,0,0,0,0,0,0,0,0,0,0,0,0
W2BEG5,0,0,0,0,0,0,0,0,0,0,0,0
W2BEG6,0,0,0,0,0,0,0,0,0,0,0,0
W2BEG7,0,0,0,0,0,0,0,0,0,0,0,0
W2BEG8,0,0,0,0,0,0,0,0,0,0,0,0
W2BEG9,0,0,0,0,0,0,0,0,0,0,0,0
W2BEG10,0,0,0,0,0,0,0,0,0,0,0,0
W2BEG11,0,0,0,0,0,0,0,0,0,0,0,0
