#frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,585:554
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,553:522
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,521:490
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,489:458
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,457:426
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,425:394
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,393:362
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,361:330
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,329:298
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,297:266
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,265:234
frame11,11,32,1111_1111_1111_1111_1111_1111_1111_1111,233:202
frame12,12,32,1111_1111_1111_1111_1111_1111_1111_1111,201:170
frame13,13,32,1111_1111_1111_1111_1111_1111_1111_1111,169:138
frame14,14,32,1111_1111_1111_1111_1111_1111_1111_1111,137:106
frame15,15,32,1111_1111_1111_1111_1111_1111_1111_1111,105:74
frame16,16,32,1111_1111_1111_1111_1111_1111_1111_1111,73:42
frame17,17,32,1111_1111_1111_1111_1111_1111_1111_1111,41:10
frame18,18,10,1111_1111_1100_0000_0000_0000_0000_0000,9:0
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
